disease,symptoms
cervical spondylosis,ive been having back pain a persistent cough and weakness in my limbs i also have problems with vertigo and losing my balance and my neck hurts
chicken pox,ive had a fever for a few days and its starting to worry me i also have a headache and i feel weak and lethargic
psoriasis,i have pits in my nails and i am worried about what it could be i also have rashes on my arms and back and my joints hurt
typhoid,ive been feeling really sick lately ive lost my appetite and have noticed a significant weight loss i have abdominal pain especially in the area of my stomach and intestines im worried about my health
fungal infection,i have a rash all over my body that is itchy and red some of the patches are a different color than my skin and there are some lumps or pimples on my skin
common cold,ive been having a runny nose and sneezing for a few days my eyes are also red and irritated ive been coughing a lot and my chest feels tight i cant smell anything and my muscles are aching
malaria,ive been having chills nausea a high temperature and a headache ive also been sweating a lot and feeling muscle aches
typhoid,ive had severe stomach pain and constipation for the last few days i also get a headache and chills every night
malaria,ive been feeling really sick lately i have a high fever chills and severe itching ive also been vomiting and sweating a lot i have a headache and my muscles are sore
typhoid,i have been having severe belly pain and constipation for the past few days i also have a fever chills and headaches every night i am really uncomfortable
typhoid,i have a sharp pain in my stomach i have also been vomiting a lot and feel very nauseous
varicose veins,i have some veins in my legs that are bulging out im concerned about it im also overweight and i think that might be the cause
bronchial asthma,ive been having trouble breathing and ive been coughing a lot im also really tired ive been coughing up a lot of thick mucusy stuff its been really hard to deal with all of this
migraine,ive been having headaches blurred vision and acid reflux these symptoms have been bothering me and interfering with my usual activities
impetigo,i have a rash that started out as small red sores near my nose and neck the sores have gotten more painful and inflamed in recent days and i have a high temperature
allergy,i have a runny nose and sneeze a lot my eyes are itchy and watery and i cough a lot my head hurts all the time
diabetes,i have a chronic dry cough i have palpitations and my infections dont seem to be getting better i also have a sore throat that comes and goes
drug reaction,i have gained a lot of weight and am now very obese i have different urges and different appetites i have been taking a new medication for my depression
psoriasis,i have been experiencing a lot of skin peeling and rashes on my arms legs and back i also have joint pain
impetigo,i have red sores on my face and near my nose the rash is spreading quickly on my neck and chest
malaria,ive been feeling really hot and sweaty and ive been throwing up ive also been having chills and my skin is really itchy ive been having a headache and ive been feeling really nauseous and achy
fungal infection,i have a rash all over my body it is itchy and red there are some patches that are a different color than the rest of my skin i also have some pimples that look like little balls
common cold,im tired and my neck feels swollen my eyes are bloodshot and my throat is scratchy my nose is stuffed up and my face feels like its under pressure i cant smell anything and my chest hurts
jaundice,ive been having terrible itching and nausea ive lost weight and am really exhausted my skin is yellow and i have a fever my urine is dark and i have stomach pain
hypertension,ive been feeling dizzy and anxious and ive been having trouble concentrating
common cold,ive been having a runny nose and a sore throat for a few days now i also feel like i have a fever and my body aches
bronchial asthma,ive been having trouble breathing coughing a lot and feeling tired ive been coughing up a lot of thick sticky mucus and have a fever im just feeling really run down and exhausted from all of this
pneumonia,ive been coughing a lot and feeling really cold and tired i have a fever and its hard for me to breathe ive been sweating a lot and feeling weak and sick ive had some thick black phlegm
malaria,ive been feeling really sick for the past few days ive had a high fever chills and intense itching ive also been vomiting and sweating a lot i have a headache and my muscles are sore
migraine,i have been having frequent headaches and blurred vision i also have a stiff neck anxiety irritability and visual disturbance i have also been having stomach problems including indigestion and acidity
bronchial asthma,ive been having trouble breathing for a few weeks now its especially bad when i try to exercise or when im around smoke or other irritants i also have a persistent cough and im always tired
chicken pox,i have a rash on my skin that is red itchy and painful it is spreading all over my body
typhoid,i have been having some constipation and belly pain for a few days now the pain has been getting worse and its really affecting my daily life im also feeling really tired and weak
peptic ulcer disease,ive been having bloody stools for a while now and im also feeling weak and tired i think i might have anaemia
varicose veins,i have pain in my legs that is worse when i stand or walk for long periods of time i also have cramps and cant run for long periods of time
impetigo,i have sores on my face that are weeping clear fluid i also have a high fever and chills every night which makes it hard for me to sleep
arthritis,ive been feeling really weak and my neck has been stiff my joints are swollen and its hard to move around walking is really painful
malaria,ive been having a really high fever chills and nausea ive also been sweating a lot and have a headache my muscles are sore and i feel sick
pneumonia,im having trouble breathing and feeling really sick im sweating a lot and feel terrible my chest hurts and i have a lot of mucus in my throat my heart is racing and the color of the mucus im coughing up is strange
malaria,ive had a high fever vomiting chills and intense itching i also have a headache and am sweating a lot im feeling nauseous and my muscles hurt a lot
impetigo,i have a rash on my nose that is red and itchy it feels like it is burning i think it might be an infection
psoriasis,ive been experiencing joint pain and skin peeling im worried about whats going on with my body
fungal infection,i have these red and bumpy spots on my skin that are itchy theyre also a different color than the rest of my skin ive had some bumps that are kind of like little lumps
hypertension,ive been having chest pain dizziness and a headache that feels like a constant pressure in my forehead
arthritis,i have a lot of pain in my neck and my muscles feel weak my joints are swollen and i have a lot of stiffness when i walk walking is also very uncomfortable
typhoid,i have been having a fever for a few days now and its starting to get worse i also have a terrible stomach ache and im constipated
typhoid,ive been vomiting and having diarrhea for a few days and im having a hard time staying hydrated i also have a mild fever and stomach pain
common cold,ive been coughing for days my nose is stuffy and my face hurts ive been coughing up phlegm and it hurts to cough i cant smell anything and my muscles ache
fungal infection,i have a rash all over my body that is really itchy i also have some bumps that are firm and some patches that are a different color than the rest of my skin
fungal infection,ive been quite itchy recently and i have rashy places all over my body there are also some regions that dont appear to be the normal color of my skin and ive experienced some firm lumps
gastroesophageal reflux disease,i have a sour taste in my mouth all the time even when i havent eaten anything acidic i also get the hiccups a lot and feel like i have a lump in my throat
peptic ulcer disease,i have abdominal pain or discomfort that is worse when i eat or drink i have a loss of appetite and feel fatigued after going to the bathroom i feel very tired all the time
psoriasis,i have red scaly patches on my skin that are itchy and painful they are mostly on my knees elbows and arms but they can also appear on my scalp and other parts of my body i also have small dents in my nails
pneumonia,im having trouble breathing and im sweating a lot i feel really sick and my throat is full of phlegm my chest hurts and my heart is racing im coughing up a lot of mucus and its red in color
diabetes,i feel weak and tired i cant taste or smell things as well as i used to sometimes my heart beats fast or i feel like im going to pass out
pneumonia,im having trouble breathing and i have a really high fever im sweating a lot and feeling really cold and tired my heart is beating really fast and i have some brownish sputum
drug reaction,i have a lot of pain in my chest and i feel really sick to my stomach my chest has been hurting a lot lately and ive been really shaky and anxious
malaria,ive been feeling really sick i have a high fever chills and a headache ive also been vomiting and sweating a lot im also really itchy and my muscles hurt
bronchial asthma,ive been feeling really tired lately and have had this cough for a few days its getting harder to breathe and im coughing up a lot of phlegm my fever is really high too
malaria,ive been experiencing a lot of itching chills vomiting and a fever i also have a headache and am sweating a lot additionally hurting me have been nausea and muscle aches
chicken pox,i am feeling very sick i have no appetite and i feel like vomiting i have also noticed some red spots on my skin i am worried about my health
typhoid,ive been having a lot of stomach pain and bloating and ive been constipated i also have a high fever and chills
common cold,ive been feeling really tired and sick ive had a bad cough and sore throat ive been shivering and have a fever i just feel really run down
common cold,ive been feeling really tired and nauseous ive had a really bad cough and my throat has been sore ive had a lot of pressure in my sinuses and my nose is stuffy im feeling really yucky and exhausted
allergy,i have asthma and i get wheezing and breathing problems i also have headaches and fevers im always tired
bronchial asthma,ive been having a lot of trouble breathing lately ive been coughing up a lot of phlegm and my chest feels tight im also feeling really tired and weak
fungal infection,i have a rash on my arms and legs that is itchy and red there are also some weird looking spots on my skin sometimes the bumps feel kind of hard
fungal infection,i have a really itchy rash on my skin and there are some weird spots that are a different color there are also some bumps on my skin that look like little knots i think it might be a fungal infection
bronchial asthma,im having trouble breathing and im coughing up a lot of mucus i also have a fever and feel really weak and exhausted
diabetes,i have mood swings and have trouble concentrating my mind feels hazy and foggy at times and it gets difficult to do even regular chores i also have a lot of thirst and i have to pee a lot
fungal infection,i have a lot of itchy spots on my skin theyre sometimes red or bumpy and sometimes theyre different colors than the rest of my skin i also get these weird bumps that look like little balls
urinary tract infection,ive been having frequent urges to urinate but when i go to the bathroom i only pass a little bit of urine it also hurts when i pee and my urine is cloudy and has a strong smell ive also been feeling nauseous and have been vomiting
allergy,im having trouble breathing and i feel like im getting out of breath easily my face and chest are swollen my eyes hurt and i have a dry hacking cough
pneumonia,im sweating a lot and cant catch my breath i feel really sick my throat is full of mucus my heart is racing and my chest hurts im coughing up thick rustycolored mucus
typhoid,im feeling really weak ive been having a lot of stomach pain and constipation and ive been vomiting a lot i cant eat anything because of the pain
peptic ulcer disease,i have trouble swallowing food and it feels like food is getting stuck in my throat i also feel bloated and belch a lot i have a bad aftertaste every time i eat
fungal infection,ive been really itchy lately and there are these rashy spots all over my skin there are also some areas that dont look like the normal color of my skin and ive had some bumps that are kind of hard im not sure what it is but im worried about it
common cold,ive been feeling really run down and weak my throat is really sore and ive been coughing a lot ive also been feeling really cold and have a fever
migraine,ive been having headaches blurred vision and stomach problems i also have a stiff neck depression impatience and visual disturbance
jaundice,ive been losing weight and feeling sick to my stomach my skin is yellow and i have a fever my urine is dark and my stomach hurts
varicose veins,i have varicose veins in my legs they are swollen and the blood vessels are more visible than usual the swelling seems to be getting worse over time
pneumonia,im having trouble breathing im coughing up a lot of mucus my chest hurts im sweating a lot i feel really sick
fungal infection,i have been having a lot of itching all over my body and i have noticed some red scaly patches on my skin i also have some bumps that look like small nodules
jaundice,ive been feeling really itchy and sick to my stomach ive lost a lot of weight and im exhausted my skin is yellow and i have a fever my urine is dark and ive been having stomach pain
arthritis,my neck has been extremely stiff and my muscles have been extremely weak i have difficulty moving around without feeling stiff because of the swelling in my joints walking is also very difficult
allergy,i have been having a hard time eating lately i have a sore throat and my nose is running
psoriasis,i have cracks in my palms and soles that are painful and bleed the skin is also peeling off
pneumonia,ive been feeling really sick for the past few days i have a fever i cant catch my breath and im coughing up a lot of phlegm my chest hurts and my heart is racing
drug reaction,im losing my hair and its getting really dry and itchy my dandruff is getting worse and my skin is also really dry
jaundice,ive been feeling really sick ive lost weight have a fever and im so tired my skin is yellow and my urine is dark ive also been having stomach pain
dengue,i have rashes on my skin which itch when i touch them my joints pain all day and i dont feel good at night i have mild fever and get chills which makes it difficult for me to sleep
varicose veins,i have been experiencing pain in my legs especially when i exercise the veins in my legs are also very prominent and painful i feel fatigued all the time
typhoid,ive been having diarrhea for a few days now its really uncomfortable and it comes and goes i also have stomach aches and vomiting
peptic ulcer disease,i have a burning sensation in my upper abdomen and i frequently get nauseous heartburn and indigestion
pneumonia,i have a really high fever and i cant breathe well my heart is racing im sweating and i feel cold and tired im also about to cough up some brown phlegm
jaundice,i have been feeling very sick i have been vomiting and have a high fever my skin has turned yellow and my urine is dark i have also been experiencing abdominal pain
cervical spondylosis,i have been having back pain a productive cough and limb weakness i also have balance and dizzy concerns and my neck hurts
jaundice,i have been feeling very sick lately i have been vomiting and have a high fever i have also lost a lot of weight and my skin has become yellow i have been feeling very tired and have been having abdominal pain
peptic ulcer disease,i have a burning pain in my stomach that comes and goes i also have a lot of gas and bloating i have been losing weight and i dont feel like eating sometimes i have dark and tarry stools and blood in my vomit
diabetes,i get rashes and skin irritations especially in my skins crevices my cuts and bruises also take a while to heal
chicken pox,i have a lot of red spots on my skin and they are spreading rapidly i also have a mild fever and headache every night
urinary tract infection,ive been having blood in my urine i also feel like im almost feverish and sometimes get nauseous when i urinate
malaria,ive been feeling really sick for the past few days i have a high fever chills and intense itching ive also been vomiting and sweating a lot i have a headache and my muscles are aching i feel really miserable
jaundice,i have been feeling very sick for the past few days i have been vomiting having diarrhea and feeling very tired my skin has also turned yellow and my urine is dark i am also experiencing abdominal pain
drug reaction,im shedding hair and its getting thinner my scalp is dry and itchy and i have dandruff my skin is also dry
psoriasis,i have a skin condition that causes dry red scaly patches on my skin it can be itchy and painful and it can get worse when im stressed or if im exposed to certain triggers like sunlight or certain chemicals
arthritis,ive been experiencing stiffness and weakness in my neck muscles recently my joints have grown stiff and its hard for me to run without getting stiff walking is also very uncomfortable
diabetes,i have a feeling of tremors and muscle twitching i have decreased sense of smell or taste and i feel fatigued sometimes i have a feeling of rapid hearbeat or palipatations i also have a feeling of thirst and i urinate frequently
urinary tract infection,i have been getting blood in my pee sometimes i get nauseous while peeing this often almost coincides with me having a high temperature i also feel like i have to pee all the time
psoriasis,i have a silver like dusting on my skin and the skin on my arms and back is starting to peel off this is strange and really concerning me
gastroesophageal reflux disease,i have a lot of heartburn and acid reflux i also get nauseous and throw up after i eat
dengue,ive been vomiting for the past few days and i have stomach cramps i feel dizzy and weak i also have a pain behind my eyes
typhoid,i have been vomiting and having diarrhea for the past week i have also lost a lot of weight and have a high fever i have a headache and my stomach hurts
cervical spondylosis,ive been having back pain a cough and weakness in my arms and legs my neck hurts and ive been feeling dizzy and offbalance
fungal infection,i have been experiencing itching on my skin which often leads to a rash i also have some strange patches of skin that are a different color than the rest of my skin and i frequently get little lumps that look like nodules
diabetes,ive been feeling really tired lately and ive been having trouble losing weight ive also been feeling really thirsty and ive been going to the bathroom a lot more than usual
varicose veins,i have a rash on my legs that is red inflamed and itchy it is spreading and causing a lot of discomfort
hypertension,ive been having a headache that feels like a sharp pain in my forehead and ive also been feeling dizzy and having chest pain
jaundice,ive been feeling scratchy sick and worn out i also had a high fever and lost weight my skin and urine have turned yellow ive also been having stomach pain
hypertension,ive been having a headache all day and its been getting worse i also have chest pain and dizziness im having trouble concentrating on my work
varicose veins,i have been experiencing cramps in my legs for a few days now i think there might be a bruise on my calves but im not sure
pneumonia,im having trouble breathing and i feel really uncomfortable im sweating a lot and my throat is full of phlegm my chest hurts and my heart is racing the mucus im coughing up is brown
dengue,i have been experiencing back pain for a few days now it is worse when i sit or stand for a long time i also have rashes all over my body and a pain behind my eyes
allergy,i have asthma which causes wheezing and breathing problems i also get headaches and fevers a lot im always tired
typhoid,i have been having diarrhea for a few days now i have loose watery stools and i have to go to the bathroom a lot i also feel nauseated and have lost my appetite i have a mild fever too
hypertension,ive been having trouble concentrating and focusing ive also been experiencing balance issues a headache chest pain and dizziness
dengue,i have been feeling very sick for the past few days i have severe joint pain i feel like vomiting all the time and i have a mild headache
bronchial asthma,ive been having trouble breathing coughing a lot and feeling exhausted i have a fever and have been coughing up a lot of thick sticky mucus im just so tired and worn out from dealing with this
malaria,i have a high fever chills nausea and severe itching i also have a headache and am sweating a lot i have muscle aches and nausea
dengue,i have been feeling really cold even though its warm outside my back hurts and i have red spots on my arms
jaundice,ive been losing weight and feeling really tired my skin has turned yellow and i have a fever my urine is dark and ive been having stomach pain
drug reaction,im feeling really sick i have a fever and im dizzy and nauseous my head is pounding and my heart is racing i cant think straight and everything seems fuzzy
peptic ulcer disease,ive been losing weight and cant seem to gain it back i use antacids to help with the pain and discomfort i feel my mouth feels terrible
dengue,i have been vomiting frequently and have lost my appetite as a result my joints and back pain all the time
arthritis,i have a stiff neck and muscle weakness i have trouble moving around because of the swelling in my joints walking is painful
common cold,ive been feeling really run down lately my sinuses are stuffy and my eyes are red my throat is scratchy and ive been coughing up a lot of phlegm i also have some swollen lymph nodes
gastroesophageal reflux disease,i have heartburn and indigestion i frequently vomit everything i eat and i have trouble swallowing food because it gets caught in my throat my upper abdomen is bothering me
gastroesophageal reflux disease,i have a burning sensation in my throat especially after i eat i also sometimes get a sour or bitter taste in my mouth that makes me feel nauseous
allergy,i have itchy swollen skin sometimes it flakes my lips and cheeks are swollen and achy the puffiness sometimes gives me headaches and runny eyes
typhoid,ive been feeling really sick lately ive been having a lot of nausea and vomiting and ive lost my appetite ive also been feeling really weak
cervical spondylosis,ive been having back pain a cough and numbness in my arms and legs my neck hurts too and ive been feeling dizzy and off balance
drug reaction,ive gained a lot of weight and am currently quite fat i have many inclinations and cravings ive been taking a new medication for my diabetes
arthritis,i have been experiencing stiffness and weakness in my neck muscles recently my joints have grown and it is hard for me to walk without getting stiff walking has been extremely uncomfortable
allergy,im always tired my mouth tastes bad and my throat itches my muscles are hot and hurt and sometimes my whole body cramps up
allergy,i have trouble breathing and get short of breath i have a dry hacking cough itchy eyes and swelling all over my face and body i also have a runny nose and sneezing
gastroesophageal reflux disease,i have a hard time swallowing and i feel full even after eating a small meal i often have heartburn nausea and a tingling in my throat
gastroesophageal reflux disease,i have a lot of heartburn and acid reflux i also have a sore throat and bad breath i throw up a lot
cervical spondylosis,ive been having back pain a dry cough and stiffness in my arms and legs ive also had problems staying balanced and experience dizziness my neck hurts too
migraine,ive been having headaches heartburn acid reflux and indigestion ive also been feeling melancholy impatient and have had impaired eyesight and an increased appetite
diabetes,ive been having trouble seeing things clearly and it seems to be getting worse im also really tired all the time and i sometimes feel lightheaded and dizzy
allergy,i have a tickle in my throat and im always tired my skin is dry and i sometimes have swelling around my eyes
drug reaction,i have a metallic taste in my mouth and also have a sense of change of taste and smell sometimes get very unbearable joint pain and muscle pain
bronchial asthma,ive been having a hard time breathing lately i feel like i cant get enough air and my chest feels tight ive also been coughing a lot and ive been producing a lot of mucus
impetigo,i have a rash on my face and sores near my nose the sores are red painful and have a yellow ooze
migraine,ive been having visual disruptions seeing things as distorted and eyesight difficulties
chicken pox,i have a rash all over my body and i feel really itchy im also feeling really tired and i dont have an appetite
arthritis,my neck has been tight and weak lately i cant run without my joints getting tight and walking is uncomfortable
dengue,i have pain in my joints and back i feel like vomiting and i am very weak i am not able to focus on my work and dont feel like doing anything
chicken pox,ive been feeling hot and feverish for a few days now i also have a rash all over my body that itches like crazy
malaria,ive been having a fever for a few days and its been getting worse ive also been having chills and my skin is really itchy i have a headache and im sweating a lot my muscles are sore and i just feel really sick
diabetes,i have been feeling really thirsty and have been urinating a lot more than usual my mouth and throat are always dry i have also been feeling really hungry and have been eating a lot more than usual
psoriasis,i have a rash on my skin that is red and itchy it bleeds when i scratch it i also have little dents in my nails and they are inflamed
urinary tract infection,ive been feeling really down lately and my urine smells really bad i cant seem to hold my urine in and my kidneys hurt ive also been craving things i dont normally like
psoriasis,i have been having rashes on my skin for a while now they are not healing and are getting worse i have also noticed that the skin on my elbows and knees is peeling i am worried about this and would like to see a doctor
varicose veins,i have swelling in my legs that makes it hard to fit into my shoes i cant sprint or stand for long periods of time i can see some swollen blood vessels
varicose veins,i have a lot of pain in my legs especially when i stand for long periods of time the skin around my veins is red and inflamed and it is itchy i also get regular cramps
jaundice,ive been feeling really sick and tired ive lost weight and have a fever my urine is dark and my skin is yellow i also have stomach pain
varicose veins,i have cramps in my calves when i walk and i think its because im overweight i get tired after a while of working
cervical spondylosis,i have been having back pain a cough that wont go away and weakness in my arms and legs my neck hurts and i have been dizzy and have trouble keeping my balance
varicose veins,i have some veins on my legs that are swollen and protruding from my skin they are very noticeable and make me selfconscious
impetigo,i have a rash on my face that is getting worse it is very painful and has started to ooze yellow fluid
malaria,im experiencing a high fever chills nausea and severe itching i also have a headache and have been sweating a lot ive also been experiencing muscle aches
bronchial asthma,ive been coughing a lot and im really tired ive been coughing up a lot of thick mucus and my fever is pretty high
malaria,im really sick i have a fever chills and a headache ive been vomiting and sweating a lot i also have muscle pain and nausea
gastroesophageal reflux disease,i have a lot of acid reflux and stomach pain i also throw up a lot after i eat
chicken pox,i have a rash all over my body its really itchy and i feel really sick
common cold,ive been sneezing a lot and my eyes are constantly watering my nose is stuffy and its hard to breathe im tired all the time and ive been coughing up a lot of phlegm my lymph nodes are also swollen
migraine,ive been having problems with my vision ive been seeing things as distorted and my eyesight has been blurry
bronchial asthma,ive been having trouble breathing coughing a lot and running a fever ive also been coughing up a lot of thick mucusy stuff and im feeling really tired im not sure whats going on but im not feeling well
common cold,ive been feeling really run down lately and i just cant seem to shake this cold my nose is always running and im coughing up all this gunk my throat is sore and ive got a headache im also feeling really tired and achy
allergy,im dizzy nauseated and shaky my throat is swollen so im having trouble breathing sometimes throughout the night my chest hurts and i feel sick
arthritis,my muscles have been weak and my neck has been stiff my joints are swollen and its hard to move around walking is really painful
common cold,ive been feeling really sick lately my eyes are red and watery and ive had this pressure in my sinuses that wont go away im always feeling tired and ive been having a lot of trouble breathing ive also had a lot of gunk in my throat and my lymph nodes are swollen
arthritis,my muscles have been weak and my neck has been stiff my joints have swollen and its hard to move without getting stiff walking is uncomfortable too
psoriasis,i have small dents in my nails and they are often inflamed and tender to the touch i also have minor rashes on my arms
diabetes,i have a dry cough that wont go away i also have palpitations and my infections dont seem to be getting better sometimes my throat hurts but it seems to get better
allergy,i have a lot of sneezing and a sore throat my lips and the skin around my eyes will sometimes swell up i cant stop sneezing once i start
dengue,ive been feeling really tired and weak and i cant seem to get enough sleep ive also noticed some small red spots on my arms and legs
malaria,i have a really high fever and ive been perspiring a lot ive also been experiencing chills vomiting and severe body itchiness i feel queasy and have a headache my muscles are in excruciating discomfort
peptic ulcer disease,i have been losing weight and having trouble gaining weight i have pain and discomfort in my stomach that is relieved by taking antacids my mouth tastes bad
bronchial asthma,ive had this cough for days and its really hard to breathe im also really tired and weak and i have a fever ive been coughing up a lot of mucus and its just been really hard to deal with all of this
hypertension,ive been having trouble with my balance ive been having chest pains headaches and pains all over my body ive also been having trouble focusing
chicken pox,i have a rash on my skin that is spreading rapidly it is very itchy and i can hardly sleep at night
gastroesophageal reflux disease,i have a sour taste in my mouth and sometimes i have trouble swallowing
peptic ulcer disease,i have a burning pain in my stomach that comes and goes it is worse when i eat certain foods like spicy or acidic food i also get loose stools sometimes
diabetes,i have a wound that doesnt seem to heal my hands and feet are numb and tingly
allergy,i have trouble breathing and my face and chest are swollen my eyes are itchy and i have a dry cough
urinary tract infection,i have been experiencing a burning sensation when i urinate and my urine is frequently black red and has a really strange odour i have also been experiencing temperature changes very regularly which usually prevents me from sleeping at night
malaria,ive been feeling really unwell and have been scratching a lot i have a high fever chills nausea and muscle pain ive also been sweating a lot
malaria,ive been feeling really sick lately ive had a fever chills and intense itching ive also been vomiting and have a headache ive been sweating a lot and feel really uncomfortable
arthritis,ive been having a lot of pain in my joints and its been hard to move around ive also been feeling really tired and weak
varicose veins,my legs hurt a lot when i stand or walk for a long time i get cramps when i do physical activities i also have bruise marks on my legs
psoriasis,i have a silverlike powder on my back and elbows my nails are slightly dented my joints are experiencing excruciating discomfort
diabetes,i have been feeling very thirsty and hungry lately i also feel very tired at times
fungal infection,i have a rash that is itchy and sometimes red and rough i also have little pimples that look like tiny balls and some spots that are a different color than the rest of my skin it really irritates me and itches
migraine,i have been experiencing headaches blurred and distorted vision and excessive hunger these symptoms have been affecting my daily life and causing me discomfort
bronchial asthma,ive been coughing a lot and i cant seem to get rid of it im also short of breath and ive been coughing up a lot of thick mucusy saliva i feel really tired and weak
allergy,i have a runny nose and sneeze a lot my eyes are sore and watery and i have a hoarse voice my head hurts all the time
cervical spondylosis,i have back pain difficulty breathing and weakness in my limbs i also have balance and dizziness issues and my neck hurts
bronchial asthma,ive been feeling really tired and weak and i have a cough that wont go away my fever is really high and its hard to breathe ive been coughing up a lot of mucus
hypertension,ive been having trouble concentrating and focusing ive also been having headaches chest pain and dizziness i feel like im off balance
urinary tract infection,i have blood in my urine and sometimes get nauseous when i pee i also have a bad smell in my urine and sometimes get high temperatures at night im worried about it can you help me
common cold,my nose is always stuffy and congested and my eyes are always red and itchy i feel unwell and fatigued and i keep coughing up this gunk i have a scratchy irritated throat and my necks lymph nodes are swollen
hypertension,ive been having a headache and chest pain for a few days but today ive also been feeling dizzy and unsteady on my feet
hypertension,ive been feeling dizzy and lightheaded and ive been having trouble balancing ive also had a headache that wont go away
chicken pox,i have a rash all over my body that is itchy and painful i also have a fever and feel tired
typhoid,ive had a headache for the past week its been getting worse ive also had belly aches constipation and diarrhea
cervical spondylosis,ive been having pain in my neck arms and legs ive also been having trouble staying balanced and without getting woozy
peptic ulcer disease,i have a sour taste in my mouth i burp and belch a lot i have a feeling of pressure or fullness in my upper belly
dengue,ive been shivering and shivering and i feel cold my fever is really high i have rashes on my arms and red patches on my neck
urinary tract infection,ive had a fever for the past four days and my urine is bloody my head hurts a lot and my urine smells terrible i dont feel like i can control when i need to pee
cervical spondylosis,ive been having a lot of trouble with my neck its been hurting and ive been having problems with vertigo and balance loss ive also been having a persistent cough weakness in my arms and legs and severe back pain
typhoid,i have been experiencing abdominal pain for a few days now it is really painful and i have also been constipated and vomiting i am worried about my health
jaundice,i have been feeling very sick lately i have been having severe itching vomiting and fatigue i have also lost weight and have a high fever my skin has turned yellow and my urine is dark i am also experiencing abdominal pain
dengue,i have been experiencing a high fever for the past few days i also feel weak and my muscles pain i cannot work all day because of this
urinary tract infection,i have blood in my urine and i have a low fever i have a headache and i have to pee a lot i have pain in my lower back
gastroesophageal reflux disease,i have a tendency to burp and belch regularly i often get chest discomfort that radiates to my arm jaw and neck my chest feels tight and stressed
malaria,i have a high fever chills nausea and a headache i also have muscle aches and a lot of sweating
dengue,i have a fever and chills and my whole body is aching i also have a loss of appetite and some red spots on my back and neck
pneumonia,ive been feeling really weak and cold lately and this cough wont go away it hurts in my chest when i cough and my heart is pounding ive been coughing up mucus thats a rusty brown color
diabetes,im always thirsty and hungry and i have to pee all the time ive also lost a lot of weight recently and im always tired
hypertension,i was walking and suddenly felt a headache chest pain and dizziness ive been having trouble concentrating and focusing since then
hypertension,ive been feeling lightheaded and dizzy and ive also been having trouble concentrating
common cold,ive been sneezing a lot and my nose is running im also really tired and my head hurts i think i have a fever too
cervical spondylosis,ive been having back pain a hacking cough and numbness in my arms and legs my neck hurts too and ive been having trouble staying balanced and without getting lightheaded
migraine,i have been experiencing headaches as well as blurred and distorted vision excessive hunger a stiff neck depression irritability and visual disturbance
migraine,i have been having a lot of headaches and they are really bad i also have some vision problems and i feel really sick to my stomach
diabetes,ive been drinking a lot more water and going to the bathroom a lot more often my mouth and throat are always dry ive been really hungry and eating a lot more lately
hypertension,i have been having headaches chest pains and lightheadedness it is hard for me to concentrate at work
migraine,ive been having frequent headaches stomach acid indigestion hazy and distorted vision increased appetite stiff neck depression irritation and visual distortion
migraine,ive been having a lot of headaches and blurred vision i also feel like im always hungry and my neck is sore ive been feeling really irritable and sad too
typhoid,ive been having abdominal pain for a few days now its been coming and going but its really unpleasant ive also been constipated and vomiting im really concerned about my health
urinary tract infection,ive been having a strange odor in my urine its been red or black and both my body temperature has been fluctuating a lot and it keeps me up at night
drug reaction,i have a metallic taste in my mouth and my tongue feels weird i also have joint and muscle pain
peptic ulcer disease,i have a constant hunger and i eat a lot my stomach hurts and cramps sometimes i have gas and bloating after i eat and it hurts a lot
urinary tract infection,ive been having blood in my urine i also feel sick after i pee and ive been running a fever
diabetes,i have trouble breathing especially when i exercise i sweat and get flushed for no reason i get yeast infections and urinary tract infections a lot
typhoid,ive been feeling really sick i have a fever chills and my stomach hurts really bad ive been feeling this way for a few days now and i cant seem to get rid of it
typhoid,ive been having diarrhea and constipation which is really bothering me i have a really bad stomachache and im always tired and dont want to eat
migraine,i have been having headaches for a long time they are usually on one side of my head and are very painful i also get nausea vomiting and sensitivity to light and sound
varicose veins,i have a burning ache in my legs that gets worse when i stand or walk for long periods of time
fungal infection,i have red spots all over my body and they are itchy some of the spots are a different color than my skin i also have some lumps or pimples on my skin
chicken pox,i have small red spots all over my body im worried about them im also very tired and have a mild fever every night
fungal infection,i have a rash all over my body that is red and itchy i also have some small bumps that look like pimples and some strange patches that are a different color than the rest of my skin
urinary tract infection,i sometimes have blood in my urine and i feel a little sick i also sometimes have really bad smelling pee and i get really hot at night
peptic ulcer disease,i have a stomach pain that keeps me up at night i get tired after using the bathroom and i dont want to eat i worry all the time
urinary tract infection,i have pain in my pelvic area and i vomit a lot sometimes there is blood in my pee and it smells really bad i also get headaches and have trouble sleeping
pneumonia,im having trouble breathing and my fever is really high im sweating and shivering my heart is racing and im really tired im also about to cough up some brown phlegm
chicken pox,i have a lot of red spots all over my body they are itchy and i have a fever headache and feel exhausted
arthritis,ive been having a lot of pain in my joints especially my knees and ankles theyre really stiff and its hard for me to move around ive also been feeling really weak and tired
arthritis,my joints have been hurting a lot lately ive been having a lot of trouble moving around and its been really painful to walk
peptic ulcer disease,ive had a change in my bowel movements theyve been both constipated and diarrheal i have no energy no appetite and i feel exhausted all the time
common cold,i have a really bad cold im coughing up a storm and my sinuses are completely blocked i cant smell anything and my chest hurts my muscles are also really achy
